Question,Answer
Has the house been sold?,"No. Title continues to reside with Theta Deuteron House Corp., the nonprofit corporation which has owned it since 1966."
Who's running the house now?,"Changeless Skies, LLC, d/b/a 372 Management Co., an alumni-founded (and -funded) entity to which House Corp. formally transferred management of the property."
"With no rent-paying residents, who's covering the bills?","For now, Dave Blundin (’88) is generously funding the carrying costs, to the extent House Corp.’s reserves are insufficient."
Why is the house empty?,"Before renovations can be undertaken, there will need to be an in-depth diagnostic assessment of the building’s aging systems. Having the premises cleared out has facilitated that process."
Is there a timeline for the renovations?,"Once an in-depth diagnostic assessment of the physical plant has been completed, a detailed schedule (and budget) for the renovations will be formulated. Our goal is to activate the House during Rush of fall 2027."
Will the project include a new incubator building out back?,"Not in the short term. Post-COVID, a surplus of office space here in Cambridge has made the business case for a new structure less compelling. Moreover, a restoration project as proposed will not demand coordination with MIT as an abutter."
Will 372 Memorial Drive remain a fraternity house?,Yes. The renovated house will still be the home of the Theta Deuteron Charge of Theta Delta Chi.
How will the renovations be funded?,There will be a capital campaign — anchored by some of our most successful founder alumni — asking all Theta Deuts to contribute as their circumstances permit.
How can I help?,"Pending the campaign, you can support the reboot of TDC at MIT by reconnecting with your fellow alumni and sharing with us the history and traditions that will be revived here at 372!"
What’s with all the “FOUNDERS HOUSE” posters?,"Our reboot of TDC at MIT will celebrate the many Theta Deut alumni who have founded successful companies over the years, attracting new entrepreneurial members."
"If I have other questions, whom should I contact?",Feel free to reach out to Román Cepeda (’97) or Matt Rita (’89).
